"date","region","travel_rate","total_flights"
2020-09-11,"Nevada",0.0497223351596936,171
2020-09-11,"New Hampshire",0.0299381983830198,5
2020-09-11,"New Jersey",0.0242130856936249,73
2020-09-11,"New Mexico",0.0447288924169258,18
2020-09-11,"New York",0.0183890655713272,125
2020-09-11,"North Carolina",0.0357377533267003,187
2020-09-11,"North Dakota",0.0487014636404175,1
2020-09-11,"Ohio",0.0227277236900783,23
2020-09-11,"Oklahoma",0.0292090455108514,17
2020-09-11,"Oregon",0.0303965737805217,46
2020-09-11,"Pennsylvania",0.0235188730919685,72
2020-09-11,"Rhode Island",0.0258646479624355,9
2020-09-11,"South Carolina",0.0411820519030911,17
2020-09-11,"Tennessee",0.0335387722391201,107
2020-09-11,"Texas",0.0316708889607451,432
2020-09-11,"Utah",0.0349846753242512,140
2020-09-11,"Washington",0.0297195767302323,102
2020-09-11,"Washington D. C.",0.0471611464610643,98
2020-09-11,"Wisconsin",0.026954636282471,25
2020-09-13,"Alabama",0.0301693066227236,11
2020-09-13,"Alaska",0.0345888990777462,33
2020-09-13,"Arizona",0.0333903189802966,207
2020-09-13,"Arkansas",0.0332858302516461,7
2020-09-13,"California",0.0217883088699588,344
2020-09-13,"Colorado",0.0340164414109819,306
2020-09-13,"Connecticut",0.022496944387859,12
2020-09-13,"Florida",0.0353042626876955,329
2020-09-13,"Georgia",0.0417175532974877,513
2020-09-13,"Hawaii",0.0328172385028572,20
2020-09-13,"Idaho",0.041827145792254,14
2020-09-13,"Illinois",0.0232875586883681,305
2020-09-13,"Indiana",0.0264989523362571,30
2020-09-13,"Iowa",0.030417780927697,3
2020-09-13,"Kansas",0.0331208341720802,6
2020-09-13,"Kentucky",0.0269591586423119,20
2020-09-13,"Louisiana",0.031030961401847,42
2020-09-13,"Maine",0.032794178144443,6
2020-09-13,"Maryland",0.0337580312418436,154
2020-09-13,"Massachusetts",0.021391277031657,74
2020-09-13,"Michigan",0.0260923370212395,93
2020-09-13,"Minnesota",0.0286660487429856,120
2020-09-13,"Mississippi",0.0333707329346643,1
2020-09-13,"Missouri",0.0315224950175202,64
2020-09-13,"Montana",0.046915406162465,8
2020-09-13,"Nebraska",0.0334607502804498,21
2020-09-13,"Nevada",0.0498904608668437,171
2020-09-13,"New Hampshire",0.0307590699175187,5
2020-09-13,"New Jersey",0.0241292826964134,75
2020-09-13,"New Mexico",0.0448171413758695,18
2020-09-13,"New York",0.0179457888473385,126
2020-09-13,"North Carolina",0.0347536817584202,187
2020-09-13,"North Dakota",0.0482598312194203,1
2020-09-13,"Ohio",0.0231654036147575,23
2020-09-13,"Oklahoma",0.0288886033578451,17
2020-09-13,"Oregon",0.0306318856703726,46
2020-09-13,"Pennsylvania",0.0231051086459291,72
2020-09-13,"Rhode Island",0.0289170370529805,9
2020-09-13,"South Carolina",0.0415963183677011,17
2020-09-13,"Tennessee",0.0336034957243415,107
2020-09-13,"Texas",0.0324190543280906,434
2020-09-13,"Utah",0.0344825402805491,141
2020-09-13,"Washington",0.0298647744577974,101
2020-09-13,"Washington D. C.",0.0452730554464406,97
2020-09-13,"Wisconsin",0.0264378426076122,25
2020-09-14,"Alabama",0.0306608200105786,11
2020-09-14,"Alaska",0.0367378716364167,34
2020-09-14,"Arizona",0.0328095702225659,208
2020-09-14,"Arkansas",0.032963431859201,7
2020-09-14,"California",0.0216848522086718,342
2020-09-14,"Colorado",0.0341503862602244,305
2020-09-14,"Connecticut",0.0215129433509311,11
2020-09-14,"Florida",0.0355555654905941,327
2020-09-14,"Georgia",0.0409968717021631,512
2020-09-14,"Hawaii",0.0330433103181884,20
2020-09-14,"Idaho",0.0424758748882266,14
2020-09-14,"Illinois",0.0228416033006612,296
2020-09-14,"Indiana",0.0262924037972816,30
2020-09-14,"Iowa",0.0305773822887116,3
2020-09-14,"Kansas",0.0324431494108524,6
2020-09-14,"Kentucky",0.0264159259800591,20
2020-09-14,"Louisiana",0.030820088396254,41
2020-09-14,"Maine",0.0318038607170623,6
2020-09-14,"Maryland",0.0333933735800922,154
2020-09-14,"Massachusetts",0.0218982862641282,75
2020-09-14,"Michigan",0.0258689139385932,93
2020-09-14,"Minnesota",0.0284118713837474,119
2020-09-14,"Mississippi",0.0331885799834188,1
2020-09-14,"Missouri",0.0311009349360809,64
2020-09-14,"Montana",0.0488484427359432,8
2020-09-14,"Nebraska",0.0320266631591191,21
2020-09-14,"Nevada",0.0497266188417954,169
2020-09-14,"New Hampshire",0.0305163806840411,5
2020-09-14,"New Jersey",0.0241201714775127,72
2020-09-14,"New Mexico",0.0438638769239387,17
2020-09-14,"New York",0.0180830615482413,124
2020-09-14,"North Carolina",0.0346644578587258,187
2020-09-14,"North Dakota",0.0499674644511376,1
2020-09-14,"Ohio",0.0228248702912375,23
2020-09-14,"Oklahoma",0.0285457047888979,17
2020-09-14,"Oregon",0.0301671799154141,46
2020-09-14,"Pennsylvania",0.0227713461426793,73
2020-09-14,"Rhode Island",0.0276172890550419,9
2020-09-14,"South Carolina",0.0414691787853239,17
2020-09-14,"Tennessee",0.0342745829003492,107
2020-09-14,"Texas",0.0323311610276881,431
2020-09-14,"Utah",0.0345668894657132,138
2020-09-14,"Washington",0.029526746236962,101
2020-09-14,"Washington D. C.",0.0466074336760752,97
2020-09-14,"Wisconsin",0.0265126867386364,25
