"","age_gp","sex","region","july1_2020","july1_2021"
"297","30-49","female","Idaho",228842,237365
"298","50-64","total","Idaho",328797,336450
"299","50-64","male","Idaho",163756,167895
"300","50-64","female","Idaho",165041,168555
"301","65-74","total","Idaho",187069,197346
"302","65-74","male","Idaho",92059,96903
"303","65-74","female","Idaho",95010,100443
"304","75-84","total","Idaho",86608,90494
"305","75-84","male","Idaho",41115,43009
"306","75-84","female","Idaho",45493,47485
"307","85+","total","Idaho",27519,27616
"308","85+","male","Idaho",10937,11149
"309","85+","female","Idaho",16582,16467
"310","Total","total","Idaho",1847772,1900923
"311","Total","male","Idaho",931609,958616
"312","Total","female","Idaho",916163,942307
"313","0-17","total","Illinois",2859985,2803224
"314","0-17","male","Illinois",1462379,1433027
"315","0-17","female","Illinois",1397606,1370197
"316","18-29","total","Illinois",2025660,1992373
"317","18-29","male","Illinois",1025110,1009632
"318","18-29","female","Illinois",1000550,982741
"319","30-49","total","Illinois",3348460,3314793
"320","30-49","male","Illinois",1687300,1669117
"321","30-49","female","Illinois",1661160,1645676
"322","50-64","total","Illinois",2490511,2459617
"323","50-64","male","Illinois",1231336,1217074
"324","50-64","female","Illinois",1259175,1242543
"325","65-74","total","Illinois",1224647,1259846
"326","65-74","male","Illinois",576687,593505
"327","65-74","female","Illinois",647960,666341
"328","75-84","total","Illinois",592580,601395
"329","75-84","male","Illinois",255533,259728
"330","75-84","female","Illinois",337047,341667
"331","85+","total","Illinois",243402,240221
"332","85+","male","Illinois",83164,82999
"333","85+","female","Illinois",160238,157222
"334","Total","total","Illinois",12785245,12671469
"335","Total","male","Illinois",6321509,6265082
"336","Total","female","Illinois",6463736,6406387
"337","0-17","total","Indiana",1594263,1587006
"338","0-17","male","Indiana",817260,813676
"339","0-17","female","Indiana",777003,773330
"340","18-29","total","Indiana",1108857,1109340
"341","18-29","male","Indiana",564520,565717
"342","18-29","female","Indiana",544337,543623
"343","30-49","total","Indiana",1695885,1701686
"344","30-49","male","Indiana",852880,854747
"345","30-49","female","Indiana",843005,846939
"346","50-64","total","Indiana",1297684,1293265
"347","50-64","male","Indiana",643809,642035
"348","50-64","female","Indiana",653875,651230
"349","65-74","total","Indiana",658828,681528
"350","65-74","male","Indiana",312632,323225
"351","65-74","female","Indiana",346196,358303
"352","75-84","total","Indiana",311833,316728
"353","75-84","male","Indiana",135810,138210
"354","75-84","female","Indiana",176023,178518
"355","85+","total","Indiana",118294,116432
"356","85+","male","Indiana",40331,40060
"357","85+","female","Indiana",77963,76372
"358","Total","total","Indiana",6785644,6805985
"359","Total","male","Indiana",3367242,3377670
"360","Total","female","Indiana",3418402,3428315
"361","0-17","total","Iowa",741640,736376
"362","0-17","male","Iowa",379911,377252
"363","0-17","female","Iowa",361729,359124
"364","18-29","total","Iowa",517165,517817
"365","18-29","male","Iowa",266007,266648
"366","18-29","female","Iowa",251158,251169
"367","30-49","total","Iowa",771148,774535
"368","30-49","male","Iowa",394893,397081
"369","30-49","female","Iowa",376255,377454
"370","50-64","total","Iowa",604583,599078
"371","50-64","male","Iowa",303889,301269
"372","50-64","female","Iowa",300694,297809
"373","65-74","total","Iowa",324614,336104
"374","65-74","male","Iowa",158348,163770
"375","65-74","female","Iowa",166266,172334
"376","75-84","total","Iowa",158690,159823
"377","75-84","male","Iowa",70590,71330
"378","75-84","female","Iowa",88100,88493
"379","85+","total","Iowa",70829,69346
"380","85+","male","Iowa",24157,24034
"381","85+","female","Iowa",46672,45312
"382","Total","total","Iowa",3188669,3193079
"383","Total","male","Iowa",1597795,1601384
"384","Total","female","Iowa",1590874,1591695
"385","0-17","total","Kansas",711338,703064
"386","0-17","male","Kansas",364714,360295
"387","0-17","female","Kansas",346624,342769
"388","18-29","total","Kansas",485167,484953
"389","18-29","male","Kansas",252164,252334
"390","18-29","female","Kansas",233003,232619
"391","30-49","total","Kansas",723330,724702
"392","30-49","male","Kansas",368391,369180
"393","30-49","female","Kansas",354939,355522
"394","50-64","total","Kansas",538176,532225
"395","50-64","male","Kansas",267583,264728
"396","50-64","female","Kansas",270593,267497
"397","65-74","total","Kansas",283400,294178
"398","65-74","male","Kansas",137022,141988
"399","65-74","female","Kansas",146378,152190
"400","75-84","total","Kansas",135169,137320
"401","75-84","male","Kansas",59956,61171
"402","75-84","female","Kansas",75213,76149
"403","85+","total","Kansas",59300,58140
"404","85+","male","Kansas",21036,20795
"405","85+","female","Kansas",38264,37345
"406","Total","total","Kansas",2935880,2934582
"407","Total","male","Kansas",1470866,1470491
"408","Total","female","Kansas",1465014,1464091
"409","0-17","total","Kentucky",1020754,1015912
"410","0-17","male","Kentucky",523898,521053
"411","0-17","female","Kentucky",496856,494859
"412","18-29","total","Kentucky",712457,709884
"413","18-29","male","Kentucky",366248,365024
"414","18-29","female","Kentucky",346209,344860
"415","30-49","total","Kentucky",1126592,1128018
"416","30-49","male","Kentucky",565913,566212
"417","30-49","female","Kentucky",560679,561806
"418","50-64","total","Kentucky",889610,885320
"419","50-64","male","Kentucky",436834,435157
"420","50-64","female","Kentucky",452776,450163
"421","65-74","total","Kentucky",462830,476140
"422","65-74","male","Kentucky",218722,224504
"423","65-74","female","Kentucky",244108,251636
"424","75-84","total","Kentucky",217182,220507
"425","75-84","male","Kentucky",94777,96288
"426","75-84","female","Kentucky",122405,124219
"427","85+","total","Kentucky",74533,73613
"428","85+","male","Kentucky",25574,25651
"429","85+","female","Kentucky",48959,47962
"430","Total","total","Kentucky",4503958,4509394
"431","Total","male","Kentucky",2231966,2233889
"432","Total","female","Kentucky",2271992,2275505
"433","0-17","total","Louisiana",1096071,1082943
"434","0-17","male","Louisiana",559408,552548
"435","0-17","female","Louisiana",536663,530395
"436","18-29","total","Louisiana",732224,717725
"437","18-29","male","Louisiana",369623,362852
"438","18-29","female","Louisiana",362601,354873
"439","30-49","total","Louisiana",1195399,1191210
"440","30-49","male","Louisiana",591679,588533
"441","30-49","female","Louisiana",603720,602677
"442","50-64","total","Louisiana",883331,870359
"443","50-64","male","Louisiana",428308,421332
"444","50-64","female","Louisiana",455023,449027
"445","65-74","total","Louisiana",456807,471409
"446","65-74","male","Louisiana",213765,220400
"447","65-74","female","Louisiana",243042,251009
"448","75-84","total","Louisiana",212525,216146
"449","75-84","male","Louisiana",91540,93204
"450","75-84","female","Louisiana",120985,122942
"451","85+","total","Louisiana",74846,74255
"452","85+","male","Louisiana",26186,26322
"453","85+","female","Louisiana",48660,47933
"454","Total","total","Louisiana",4651203,4624047
"455","Total","male","Louisiana",2280509,2265191
"456","Total","female","Louisiana",2370694,2358856
"457","0-17","total","Maine",254092,251909
"458","0-17","male","Maine",130582,129424
"459","0-17","female","Maine",123510,122485
"460","18-29","total","Maine",186334,187593
"461","18-29","male","Maine",95001,95605
"462","18-29","female","Maine",91333,91988
"463","30-49","total","Maine",326332,330350
"464","30-49","male","Maine",162366,164472
"465","30-49","female","Maine",163966,165878
"466","50-64","total","Maine",306668,305230
"467","50-64","male","Maine",150280,149490
"468","50-64","female","Maine",156388,155740
"469","65-74","total","Maine",176421,183139
"470","65-74","male","Maine",85267,88154
"471","65-74","female","Maine",91154,94985
"472","75-84","total","Maine",81948,84057
"473","75-84","male","Maine",37272,38427
"474","75-84","female","Maine",44676,45630
"475","85+","total","Maine",30485,29969
"476","85+","male","Maine",10961,10921
"477","85+","female","Maine",19524,19048
"478","Total","total","Maine",1362280,1372247
"479","Total","male","Maine",671729,676493
"480","Total","female","Maine",690551,695754
"481","0-17","total","Maryland",1376810,1363304
"482","0-17","male","Maryland",703299,696343
"483","0-17","female","Maryland",673511,666961
"484","18-29","total","Maryland",930496,922450
"485","18-29","male","Maryland",468367,464013
"486","18-29","female","Maryland",462129,458437
"487","30-49","total","Maryland",1629144,1626415
"488","30-49","male","Maryland",800804,799232
"489","30-49","female","Maryland",828340,827183
"490","50-64","total","Maryland",1258252,1249803
"491","50-64","male","Maryland",607457,603137
"492","50-64","female","Maryland",650795,646666
"493","65-74","total","Maryland",586903,604486
"494","65-74","male","Maryland",269601,277571
"495","65-74","female","Maryland",317302,326915
"496","75-84","total","Maryland",280893,289158
"497","75-84","male","Maryland",120373,123911
"498","75-84","female","Maryland",160520,165247
"499","85+","total","Maryland",110181,109513
"500","85+","male","Maryland",38136,38217
"501","85+","female","Maryland",72045,71296
"502","Total","total","Maryland",6172679,6165129
"503","Total","male","Maryland",3008037,3002424
"504","Total","female","Maryland",3164642,3162705
"505","0-17","total","Massachusetts",1385886,1362133
"506","0-17","male","Massachusetts",709295,697047
"507","0-17","female","Massachusetts",676591,665086
"508","18-29","total","Massachusetts",1191543,1172810
"509","18-29","male","Massachusetts",592607,583014
"510","18-29","female","Massachusetts",598936,589796
"511","30-49","total","Massachusetts",1816329,1805291
"512","30-49","male","Massachusetts",901349,896364
"513","30-49","female","Massachusetts",914980,908927
"514","50-64","total","Massachusetts",1441757,1429796
"515","50-64","male","Massachusetts",704357,698392
"516","50-64","female","Massachusetts",737400,731404
"517","65-74","total","Massachusetts",704461,726907
"518","65-74","male","Massachusetts",329515,340099
"519","65-74","female","Massachusetts",374946,386808
"520","75-84","total","Massachusetts",337577,346225
"521","75-84","male","Massachusetts",145109,149044
"522","75-84","female","Massachusetts",192468,197181
"523","85+","total","Massachusetts",144667,141561
"524","85+","male","Massachusetts",48864,48132
"525","85+","female","Massachusetts",95803,93429
"526","Total","total","Massachusetts",7022220,6984723
"527","Total","male","Massachusetts",3431096,3412092
"528","Total","female","Massachusetts",3591124,3572631
"529","0-17","total","Michigan",2178387,2153379
"530","0-17","male","Michigan",1116452,1103527
"531","0-17","female","Michigan",1061935,1049852
"532","18-29","total","Michigan",1609304,1591808
"533","18-29","male","Michigan",820092,811620
"534","18-29","female","Michigan",789212,780188
"535","30-49","total","Michigan",2436315,2439854
"536","30-49","male","Michigan",1222778,1224549
"537","30-49","female","Michigan",1213537,1215305
"538","50-64","total","Michigan",2062653,2042988
"539","50-64","male","Michigan",1020862,1011498
"540","50-64","female","Michigan",1041791,1031490
"541","65-74","total","Michigan",1081289,1118078
"542","65-74","male","Michigan",515205,532418
"543","65-74","female","Michigan",566084,585660
"544","75-84","total","Michigan",508068,517196
"545","75-84","male","Michigan",225962,230371
"546","75-84","female","Michigan",282106,286825
"547","85+","total","Michigan",191648,187508
"548","85+","male","Michigan",67394,66596
"549","85+","female","Michigan",124254,120912
"550","Total","total","Michigan",10067664,10050811
"551","Total","male","Michigan",4988745,4980579
"552","Total","female","Michigan",5078919,5070232
"553","0-17","total","Minnesota",1329576,1317567
"554","0-17","male","Minnesota",680079,673656
"555","0-17","female","Minnesota",649497,643911
"556","18-29","total","Minnesota",867976,864758
"557","18-29","male","Minnesota",440618,438889
"558","18-29","female","Minnesota",427358,425869
"559","30-49","total","Minnesota",1467166,1467710
"560","30-49","male","Minnesota",750418,750722
"561","30-49","female","Minnesota",716748,716988
"562","50-64","total","Minnesota",1112408,1101672
"563","50-64","male","Minnesota",559967,554614
"564","50-64","female","Minnesota",552441,547058
"565","65-74","total","Minnesota",554953,577187
"566","65-74","male","Minnesota",270378,281394
"567","65-74","female","Minnesota",284575,295793
"568","75-84","total","Minnesota",263842,268593
"569","75-84","male","Minnesota",119260,121399
"570","75-84","female","Minnesota",144582,147194
"571","85+","total","Minnesota",111244,109903
"572","85+","male","Minnesota",39839,39739
"573","85+","female","Minnesota",71405,70164
"574","Total","total","Minnesota",5707165,5707390
"575","Total","male","Minnesota",2860559,2860413
"576","Total","female","Minnesota",2846606,2846977
"577","0-17","total","Mississippi",699669,692835
"578","0-17","male","Mississippi",356763,353211
"579","0-17","female","Mississippi",342906,339624
"580","18-29","total","Mississippi",473563,468224
"581","18-29","male","Mississippi",238666,236081
"582","18-29","female","Mississippi",234897,232143
"583","30-49","total","Mississippi",734080,732009
"584","30-49","male","Mississippi",357951,356403
"585","30-49","female","Mississippi",376129,375606
"586","50-64","total","Mississippi",565197,562653
"587","50-64","male","Mississippi",272920,271438
"588","50-64","female","Mississippi",292277,291215
"589","65-74","total","Mississippi",295537,303969
"590","65-74","male","Mississippi",137479,141045
"591","65-74","female","Mississippi",158058,162924
"592","75-84","total","Mississippi",141151,142839
"593","75-84","male","Mississippi",60356,61123
"594","75-84","female","Mississippi",80795,81716
"595","85+","total","Mississippi",47673,47436
"596","85+","male","Mississippi",15896,16035
"597","85+","female","Mississippi",31777,31401
"598","Total","total","Mississippi",2956870,2949965
"599","Total","male","Mississippi",1440031,1435336
"600","Total","female","Mississippi",1516839,1514629
"601","0-17","total","Missouri",1390790,1384557
"602","0-17","male","Missouri",713147,710102
"603","0-17","female","Missouri",677643,674455
"604","18-29","total","Missouri",965637,961665
"605","18-29","male","Missouri",489487,488044
"606","18-29","female","Missouri",476150,473621
"607","30-49","total","Missouri",1534941,1542281
"608","30-49","male","Missouri",767444,770591
"609","30-49","female","Missouri",767497,771690
"610","50-64","total","Missouri",1203581,1195917
"611","50-64","male","Missouri",592534,588839
"612","50-64","female","Missouri",611047,607078
"613","65-74","total","Missouri",628098,649461
"614","65-74","male","Missouri",296043,305988
"615","65-74","female","Missouri",332055,343473
"616","75-84","total","Missouri",310932,315255
