region,age_gp,sex,date,loess_rate,deaths,pop_est,pop_est_adj,death_rate_adj,death_rate
Missouri,18-29,male,2021-07-01,0.02303376058420519,0,488044,499285.4886505579,0,0
Missouri,30-49,male,2020-07-01,0.03133153714584504,0,767444,791489.200193356,0,0
Missouri,30-49,male,2020-08-01,0.03116210243358855,11,767706.25,791629.5908014062,1.389538760023378,1.432839709198668
Missouri,30-49,male,2020-09-01,0.03052197944617273,26,767968.5,791408.418772308,3.2852822112169524,3.385555527342593
Missouri,30-49,male,2020-10-01,0.03007391090885505,29,768230.75,791334.4531329429,3.6646957408700174,3.7749074740890025
Missouri,30-49,male,2020-11-01,0.03061932501108364,60,768493,792023.7369357427,7.575530530452754,7.8074881618960745
Missouri,30-49,male,2020-12-01,0.02992446122052729,39,768755.25,791759.8366667018,4.9257360873708205,5.073136085899901
Missouri,30-49,male,2021-01-01,0.02818040968496471,39,769017.5,790688.7282049074,4.932408748072241,5.071406047326621
Missouri,30-49,male,2021-02-01,0.02719722234638417,0,769279.75,790202.0224073208,0,0
Missouri,30-49,male,2021-03-01,0.0283545421854246,10,769542,791362.011102456,1.2636441805020282,1.2994742327254392
Missouri,30-49,male,2021-04-01,0.02912185498964839,12,769804.25,792222.377738915,1.514726210366494,1.5588378474138067
Missouri,30-49,male,2021-05-01,0.02975778809017798,10,770066.5,792981.975722345,1.2610627109009351,1.2985891478203504
Missouri,30-49,male,2021-06-01,0.03003688989654,37,770328.75,793467.0298478892,4.663079700626382,4.8031441121728875
Missouri,30-49,male,2021-07-01,0.02998345281829466,85,770591,793695.9788907026,10.709390277975073,11.030494776087444
Missouri,50-64,male,2020-07-01,0.02812593348703175,86,592534,609199.5718728049,14.116884510541972,14.513935065329584
Missouri,50-64,male,2020-08-01,0.02783271326929386,106,592226.0833333334,608709.342101347,17.413894065445696,17.898569985871106
Missouri,50-64,male,2020-09-01,0.02689538025054819,110,591918.1666666667,607838.0308363741,18.096926223691856,18.58364993584417
Missouri,50-64,male,2020-10-01,0.0267758933197599,237,591610.2500000001,607451.1429408767,39.01548342679919,40.06015784885403
Missouri,50-64,male,2020-11-01,0.0275821250073827,391,591302.3333333335,607611.7082084905,64.35030706581377,66.12522527956651
Missouri,50-64,male,2020-12-01,0.02714820224123917,435,590994.4166666669,607038.8526137768,71.65933418050344,73.60475627730828
Missouri,50-64,male,2021-01-01,0.02455858900898555,375,590686.5000000002,605192.9269866563,61.96371161625758,63.48545294331254
Missouri,50-64,male,2021-02-01,0.02294727438030071,180,590378.5833333336,603926.1626733369,29.804968078086365,30.488910858470323
Missouri,50-64,male,2021-03-01,0.02356175506604848,121,590070.666666667,603973.7671863269,20.033982694925772,20.506018488181066
Missouri,50-64,male,2021-04-01,0.02479346589045271,119,589762.7500000003,604385.012625585,19.689435957890012,20.17760531671421
Missouri,50-64,male,2021-05-01,0.02550350056790747,98,589454.8333333337,604487.9950100061,16.212067205466635,16.625531670648204
Missouri,50-64,male,2021-06-01,0.0259097317848453,134,589146.9166666671,604411.5552593691,22.170323984374694,22.744751132392967
Missouri,50-64,male,2021-07-01,0.0259814150036218,342,588839,604137.8704293176,56.60959471998751,58.08039209359435
Montana,18-29,male,2020-07-01,0.04472224972365678,0,88178,92121.51853613261,0,0
Montana,18-29,male,2020-08-01,0.04555573784343359,0,88317.08333333333,92340.43322876334,0,0
Montana,18-29,male,2020-09-01,0.04329165339025571,0,88456.16666666666,92285.58037423067,0,0
Montana,18-29,male,2020-10-01,0.03863485653490227,0,88595.24999999999,92018.11477342377,0,0
Montana,18-29,male,2020-11-01,0.03658167496813841,0,88734.33333333331,91980.38387384776,0,0
Montana,18-29,male,2020-12-01,0.0362320491982725,0,88873.41666666664,92093.48267175189,0,0
Montana,18-29,male,2021-01-01,0.03528017821845749,0,89012.49999999997,92152.87686367042,0,0
Montana,18-29,male,2021-02-01,0.03396218561305517,0,89151.5833333333,92179.36595419772,0,0
Montana,18-29,male,2021-03-01,0.03461656816543719,0,89290.66666666663,92381.60311587062,0,0
Montana,18-29,male,2021-04-01,0.0347246867434593,0,89429.74999999996,92535.17005429583,0,0
Montana,18-29,male,2021-05-01,0.03578836079526988,0,89568.83333333328,92774.355056678,0,0
Montana,18-29,male,2021-06-01,0.03773631378368029,0,89707.91666666661,93093.1627588802,0,0
Montana,18-29,male,2021-07-01,0.04048224605590352,0,89847,93484.20836138476,0,0
Montana,30-49,male,2020-07-01,0.04390819316011057,0,135460,141407.8038454686,0,0
Montana,30-49,male,2020-08-01,0.04538183579540157,0,135776.91666666666,141938.72240363926,0,0
Montana,30-49,male,2020-09-01,0.04222412733172948,0,136093.8333333333,141840.27668106314,0,0
Montana,30-49,male,2020-10-01,0.03781261556597697,0,136410.74999999997,141568.79724881658,0,0
Montana,30-49,male,2020-11-01,0.03554022299811306,0,136727.66666666663,141586.99843001162,0,0
Montana,30-49,male,2020-12-01,0.03502487051045613,0,137044.58333333328,141844.5521187427,0,0
Montana,30-49,male,2021-01-01,0.03399400166952734,0,137361.49999999994,142030.96706032872,0,0
Montana,30-49,male,2021-02-01,0.03255357626036009,0,137678.4166666666,142160.34150303056,0,0
Montana,30-49,male,2021-03-01,0.03354100196934635,0,137995.33333333326,142623.83508042718,0,0
Montana,30-49,male,2021-04-01,0.03426430987268661,0,138312.2499999999,143051.4237931884,0,0
Montana,30-49,male,2021-05-01,0.03623222435166068,0,138629.16666666657,143652.009735017,0,0
