"sex","region","daily","monthly","date","time_of_day","time_info"
"F","Louisiana",1188694,1500000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Maine",363316,450000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Maryland",1292480,1700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Massachusetts",1717038,2200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Michigan",2534332,3200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Minnesota",1349719,1700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Mississippi",807172,1e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Missouri",1574236,2e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Montana",252062,330000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Nebraska",505026,620000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Nevada",709619,950000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","New Hampshire",354634,440000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","New Jersey",2038111,2600000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","New Mexico",476352,620000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","New York",4818303,6400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","North Carolina",2655047,3400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","North Dakota",206924,250000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Ohio",2947274,3700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Oklahoma",1028503,1300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Oregon",974273,1300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Pennsylvania",3185555,4e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Rhode Island",274309,340000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","South Carolina",1355268,1700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","South Dakota",227147,280000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Tennessee",1829041,2300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Texas",7284689,9300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Utah",703225,950000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Vermont",154751,2e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Virginia",2120966,2700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","West Virginia",504604,620000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Washington",1731151,2300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Washington D. C.",233216,330000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Wisconsin",1520333,1900000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Wyoming",141065,180000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Canada",8516859,1.1e+07,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","United States",77185999,1e+08,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Alberta",1031155,1300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","British Columbia",1146368,1500000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Manitoba",315168,4e+05,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","New Brunswick",219482,260000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Newfoundland and Labrador",167137,190000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Northwest Territories",12039,14000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Nova Scotia",272007,330000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Nunavut",9939,12000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Ontario",3207119,4200000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Prince Edward Island",44649,52000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Quebec",2061929,2600000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Saskatchewan",306442,370000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Yukon",10522,13000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Alabama",1373582,1700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Alaska",188037,250000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Arizona",1668043,2200000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Arkansas",804117,1e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","California",8030659,1.1e+07,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Colorado",1386033,1800000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Connecticut",853137,1100000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Delaware",228719,290000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Florida",5355979,7e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Georgia",2645436,3400000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Hawaii",296651,4e+05,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Idaho",419148,550000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Illinois",3257635,4100000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Indiana",1700183,2100000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Iowa",832717,1e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Kansas",764152,950000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Kentucky",1292871,1600000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Louisiana",1200958,1500000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Maine",361348,450000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Maryland",1309620,1700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Massachusetts",1707881,2200000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Michigan",2554293,3200000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Minnesota",1359795,1700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Mississippi",811230,1e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Missouri",1590964,2e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Montana",254522,330000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Nebraska",520136,630000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Nevada",714906,950000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","New Hampshire",354448,440000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","New Jersey",2029254,2600000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","New Mexico",477927,620000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","New York",4808063,6400000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","North Carolina",2690378,3400000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","North Dakota",207300,250000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Ohio",2962190,3700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Oklahoma",1036036,1300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Oregon",975772,1300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Pennsylvania",3182885,4e+06,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Rhode Island",270676,340000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","South Carolina",1361736,1700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","South Dakota",227242,280000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Tennessee",1840393,2300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Texas",7320587,9300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Utah",704720,950000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Vermont",156698,2e+05,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Virginia",2125881,2700000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","West Virginia",506396,620000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Washington",1733603,2300000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Washington D. C.",238948,320000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Wisconsin",1516993,1900000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Wyoming",141703,180000,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","Canada",8605519,1.1e+07,2020-05-30,"21:50:06",2020-05-30 21:50:06
"F","United States",77751999,1e+08,2020-05-30,"21:50:06",2020-05-30 21:50:06
