"sex","region","daily","monthly","date","time_of_day","time_info"
"M","Newfoundland and Labrador",4468,4800,2020-03-08,NA,NA
"M","Northwest Territories",713,1000,2020-03-08,NA,NA
"M","Nova Scotia",6173,6500,2020-03-08,NA,NA
"M","Nunavut",996,1000,2020-03-08,NA,NA
"M","Ontario",52242,61000,2020-03-08,NA,NA
"M","Prince Edward Island",1027,1200,2020-03-08,NA,NA
"M","Quebec",34767,39000,2020-03-08,NA,NA
"M","Saskatchewan",8890,9700,2020-03-08,NA,NA
"M","Yukon",994,1000,2020-03-08,NA,NA
"M","Alabama",34494,39000,2020-03-08,NA,NA
"M","Alaska",6211,7100,2020-03-08,NA,NA
"M","Arizona",52673,59000,2020-03-08,NA,NA
"M","Arkansas",22452,25000,2020-03-08,NA,NA
"M","California",160982,190000,2020-03-08,NA,NA
"M","Colorado",39704,45000,2020-03-08,NA,NA
"M","Connecticut",13748,15000,2020-03-08,NA,NA
"M","Delaware",6998,8000,2020-03-08,NA,NA
"M","Florida",175262,2e+05,2020-03-08,NA,NA
"M","Georgia",88222,1e+05,2020-03-08,NA,NA
"M","Hawaii",10955,12000,2020-03-08,NA,NA
"M","Idaho",13758,15000,2020-03-08,NA,NA
"M","Illinois",62414,72000,2020-03-08,NA,NA
"M","Indiana",38041,43000,2020-03-08,NA,NA
"M","Iowa",20222,23000,2020-03-08,NA,NA
"M","Kansas",22923,26000,2020-03-08,NA,NA
"M","Kentucky",26725,30000,2020-03-08,NA,NA
"M","Louisiana",35334,40000,2020-03-08,NA,NA
"M","Maine",6516,7300,2020-03-08,NA,NA
"M","Maryland",35270,40000,2020-03-08,NA,NA
"M","Massachusetts",29109,33000,2020-03-08,NA,NA
"M","Michigan",49345,54000,2020-03-08,NA,NA
"M","Minnesota",32056,35000,2020-03-08,NA,NA
"M","Mississippi",22303,26000,2020-03-08,NA,NA
"M","Missouri",41827,46000,2020-03-08,NA,NA
"M","Montana",8585,9200,2020-03-08,NA,NA
"M","Nebraska",13174,15000,2020-03-08,NA,NA
"M","Nevada",32797,38000,2020-03-08,NA,NA
"M","New Hampshire",7226,7700,2020-03-08,NA,NA
"M","New Jersey",37514,43000,2020-03-08,NA,NA
"M","New Mexico",20731,24000,2020-03-08,NA,NA
"M","New York",75568,86000,2020-03-08,NA,NA
"M","North Carolina",73876,83000,2020-03-08,NA,NA
"M","North Dakota",10240,11000,2020-03-08,NA,NA
"M","Ohio",55246,61000,2020-03-08,NA,NA
"M","Oklahoma",26189,30000,2020-03-08,NA,NA
"M","Oregon",23185,26000,2020-03-08,NA,NA
"M","Pennsylvania",57162,64000,2020-03-08,NA,NA
"M","Rhode Island",5065,5600,2020-03-08,NA,NA
"M","South Carolina",44180,48000,2020-03-08,NA,NA
"M","South Dakota",7252,8000,2020-03-08,NA,NA
"M","Tennessee",50922,58000,2020-03-08,NA,NA
"M","Texas",225204,250000,2020-03-08,NA,NA
"M","Utah",22281,25000,2020-03-08,NA,NA
"M","Vermont",3751,4600,2020-03-08,NA,NA
"M","Virginia",62318,71000,2020-03-08,NA,NA
"M","West Virginia",11698,13000,2020-03-08,NA,NA
"M","Washington",44609,50000,2020-03-08,NA,NA
"M","Washington D. C.",15378,17000,2020-03-08,NA,NA
"M","Wisconsin",30049,32000,2020-03-08,NA,NA
"M","Wyoming",7229,8000,2020-03-08,NA,NA
"M","Canada",177502,2e+05,2020-03-08,NA,NA
"M","United States",1687049,1900000,2020-03-08,NA,NA
"F","Alberta",28490,31000,2020-03-08,NA,NA
