date,sex,region,age_gp,monthly_trav,monthly_pop,month_yr,obs_rate,orig_date,loess_rate,loess_se
2020-06-01,M,Maine,50-65,3200,130000,2020-06,0.024615384615384615,2020-06-15,0.024931258993656696,0.0011819391592201225
2020-06-01,M,Maryland,13-29,9900,380000,2020-06,0.02605263157894737,2020-06-15,0.026255587948811776,5.366814298005608e-4
2020-06-01,M,Maryland,30-50,19000,610000,2020-06,0.03114754098360656,2020-06-15,0.0315129465690738,7.563308790307715e-4
2020-06-01,M,Maryland,50-65,12000,440000,2020-06,0.02727272727272727,2020-06-15,0.027283967914148017,7.501621525550234e-4
2020-06-01,M,Massachusetts,13-29,8400,510000,2020-06,0.01647058823529412,2020-06-15,0.016537292821544536,5.747292342918859e-4
2020-06-01,M,Massachusetts,30-50,14000,730000,2020-06,0.019178082191780823,2020-06-15,0.01914126246813884,6.718906744407069e-4
2020-06-01,M,Massachusetts,50-65,8900,540000,2020-06,0.016481481481481482,2020-06-15,0.016573920511970614,4.969526252806449e-4
2020-06-01,M,Michigan,13-29,15000,740000,2020-06,0.02027027027027027,2020-06-15,0.020144916591275805,5.797036003885982e-4
2020-06-01,M,Michigan,30-50,24000,1000000,2020-06,0.024,2020-06-15,0.024351901728597438,0.0010758456827371264
2020-06-01,M,Michigan,50-65,19000,830000,2020-06,0.02289156626506024,2020-06-15,0.022930579637933216,8.998982853045811e-4
2020-06-01,M,Minnesota,13-29,10000,410000,2020-06,0.024390243902439025,2020-06-15,0.02455102550178978,6.121604343904804e-4
2020-06-01,M,Minnesota,30-50,16000,600000,2020-06,0.02666666666666667,2020-06-15,0.02662366209350419,7.255488856320687e-4
2020-06-01,M,Minnesota,50-65,11000,420000,2020-06,0.02619047619047619,2020-06-15,0.02611257712781827,5.548630494897163e-4
2020-06-01,M,Mississippi,13-29,6900,250000,2020-06,0.0276,2020-06-15,0.028077162107198204,8.409363602414133e-4
2020-06-01,M,Mississippi,30-50,12000,330000,2020-06,0.03636363636363636,2020-06-15,0.036451313750916245,0.001233519189090355
